62   1   4   3  56  10.0  36.40  121.40  3.0
62   1   5   7  40  54.6  37.73  122.22  2.8
62   1   9   8  27   5.8  37.07  121.17  2.6
62   1  15  12  45  54.2  36.80  121.50  2.5
62   1  24  15  13   5.5  37.83  122.25  3.7
62   1  29   0  55   2.7  37.32  121.72  2.5
62   1  29  20   8  17.5  37.77  122.53  2.6
62   1  31   3  17  21.3  36.55  121.22  3.9
62   2   1  17  41  38.0  36.80  121.50  2.7
62   2   1  22  12  39.5  36.72  121.38  2.5
62   2   4  11  43  34.1  36.42  121.27  3.2
62   2  11   6  56  12.2  36.58  121.23  2.5
62   2  11   8  14  41.5  36.58  121.22  2.7
62   2  11   9  53  11.8  36.57  121.23  3.4
62   2  11   9  54   8.0  36.60  121.20  3.0
62   2  11   9  55  20.0  36.57  121.23  3.1
62   2  28   4   0   8.0  36.80  121.10  3.1
62   3   7  17  52  49.9  37.48  121.83  2.9
62   3   8   2  14  45.2  37.92  122.02  2.6
62   3   9   8  39   2.0  38.33  122.62  3.0
62   3  10  19   2  29.9  37.37  121.77  3.1
62   3  17  21  38  44.5  37.82  121.88  4.1
62   3  23   8  46  18.0  37.67  122.57  3.1
62   3  24   3  38  41.8  36.20  119.78  3.4
62   4   1  10  40  43.6  36.87  121.67  3.0
62   4   2   3   6   3.2  36.25  120.10  3.7
62   4   2  16  41  56.8  37.04  121.51  3.5
62   4   5  11  16  59.3  36.60  121.22  3.0
62   4   7   7  19  37.5  37.28  121.92  3.5
62   4   7  23   0  29.9  36.70  121.03  2.7
62   4  12  19   3  49.2  36.83  121.65  2.6
62   4  14  19  37  37.0  38.35  122.60  3.0
62   4  15   8  41   2.3  36.42  120.62  4.7
62   4  22  21   2  19.1  36.83  121.48  2.7
62   4  23  22   0  52.0  36.93  121.45  2.8
62   4  29  20  11  54.6  36.78  121.60  2.7
62   5   9  18  59  18.8  36.65  120.70  2.7
62   6   2   3  57  16.2  37.43  121.82  3.1
62   6   7   4  20  58.9  37.27  121.72  3.8
62   6   7  16  40  25.1  37.13  121.32  2.8
62   6  11   8  10  20.5  37.27  121.72  2.8
62   6  17   4  57  27.6  37.40  121.75  2.6
62   6  24  15   3  50.1  38.47  122.17  2.7
62   6  27  22   7  24.5  36.90  121.68  2.9
62   7   5  19  50   2.1  37.15  121.60  2.7
62   7  11  20  32  47.3  37.23  121.63  2.6
62   8   2  11  14  57.1  36.70  121.20  3.1
62   8   5  10  58  26.3  36.88  122.30  2.7
62   8   7  10  43  59.5  36.62  121.28  2.5
62   8   8  14  13  44.2  36.62  121.30  2.6
62   8  22  21  38  40.7  36.77  121.62  3.2
62   8  22  21  42  57.6  36.78  121.57  2.7
62   8  23   1  42   4.8  36.82  121.67  2.6
62   9   3  10  55  44.0  36.80  121.58  3.1
62   9   3  17  53  33.1  36.47  121.07  2.6
62   9  11   1  34  31.0  36.03  121.23  3.3
62   9  11  11  12  32.5  37.88  122.05  2.8
62   9  14   0  49  49.9  36.63  121.78  3.0
62   9  14   2  56  48.1  36.77  121.67  3.0
62   9  17   7  16  34.3  36.58  121.88  2.6
62   9  21   5  37  13.5  37.75  122.60  2.5
62   9  26  10  19  30.6  36.90  121.73  3.6
62   9  27  13   5   8.1  37.48  121.90  2.9
62  10   1  14   4   5.6  36.62  121.28  3.2
62  10  13  17  49  39.5  36.35  120.42  3.7
62  10  18  18  50   7.1  36.75  121.53  3.4
62  10  23   1  21  39.2  36.97  121.63  2.5
62  11  10  12  50  20.5  36.63  120.67  3.0
62  11  13   3  32  33.0  36.67  121.42  2.6
62  11  25   0  43  35.1  38.42  122.28  2.7
62  11  26  16  58  18.4  37.80  122.27  2.5
62  11  26  18  46  24.9  37.30  121.70  2.6
62  11  28   3   3  41.8  36.73  121.02  3.6
62  11  28   3  20  56.2  36.72  121.02  2.5
62  11  28   3  23   7.9  36.72  121.02  3.6
62  11  29  22  43  59.0  37.12  121.65  2.7
62  12   1   3  31  56.2  36.67  121.05  2.7
62  12   5   5   2  26.6  36.78  121.68  2.8
62  12  12   1  48  25.9  36.55  121.07  2.7
62  12  15   0  40  20.9  36.47  120.63  2.9
62  12  19  16  47  18.4  36.53  121.08  2.9
62  12  24   0  16  23.4  36.85  121.78  3.7
63   1   3  14  15  17.1  37.99  122.07  2.5
63   1   9   4   3  29.2  36.55  121.23  2.7
63   1  13   4  29  51.8  36.93  121.64  2.5
63   1  26  13  40  28.8  36.61  121.25  2.8
63   1  29  17  19   6.9  36.94  121.64  2.7
63   1  31   8  23  13.3  37.51  121.94  3.3
63   1  31   8  58  42.9  37.52  121.94  2.7
63   1  31  21  53  25.8  36.67  121.26  3.0
63   2   2   4   9  23.2  36.58  121.33  3.4
63   2   2  13  58  20.1  36.74  121.59  3.7
63   2   3  12  36  41.5  36.80  121.60  2.5
63   2   4   8  23  52.0  36.58  121.29  2.8
63   2   6  19   8  22.8  37.45  121.54  2.6
63   2   8   9  44  24.1  36.63  121.48  3.6
63   2   8  15  16  56.9  36.85  121.40  2.6
63   2   9   4   8   1.4  36.75  121.48  3.2
63   2  11  15  53  57.6  36.73  121.74  3.1
63   2  11  19  48  54.9  37.44  121.80  3.3
63   2  12   3  44  30.9  36.50  121.32  2.6
63   2  12   8  50  42.7  37.84  122.22  2.7
63   2  14   8  25  35.4  36.98  121.64  2.5
63   2  14  15   5  49.5  36.51  121.45  2.7
63   2  15   1  21  40.9  36.55  121.38  2.8
63   2  22   0  23  42.5  36.59  121.32  2.8
63   3   4  18   1  25.5  36.68  121.34  2.5
